,Index,Coding Question #,Question Label,Question Text,Question Response,Answer Value
10,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?","[Receive from other parts of company/affiliates] - The company/organization is part of a family of companies/organizations or has subsidiaries (e.g., physical store, other websites that belong to same company). It receives user information from those other units.",Receive from other parts of company/affiliates
11,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?","[Receive from other service/third-party (unnamed)] - The company/organization receives user information from an unnamed third-party (e.g., the policy just speaks of “data brokers” or ""partners"" in the abstract).",Receive from other service/third-party (unnamed)
12,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?","[Receive from other service/third-party (named)] - The company/organization acquires user information from a third party that is explicitly named (e.g., Facebook when the user signs in using Facebook account; or a specific ""partner"").",Receive from other service/third-party (named)
13,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?",[Other] - The specified type of collection is not covered by the options above.,Other
14,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?","[Unspecified] - The type of collection is not specified or unclear, e.g., “We collect your personal information” without further specification whether the collection occurs on a website, an app, offline, etc.",Unspecified
15,3,coding3_q3,First Party Collection/Use - Identifiability,"Use this optional attribute if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""",[Identifiable] - It is explicitly stated that the information/data practice is linked to the user's identity.,Identifiable
16,3,coding3_q3,First Party Collection/Use - Identifiability,"Use this optional attribute if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""","[Aggregated or anonymized] - The collected data is anonymized (e.g., link to user's identity is removed) or aggregated (e.g., merged with other users' information so that it is not possible to uniquely identify a single user).",Aggregated or anonymized
17,3,coding3_q3,First Party Collection/Use - Identifiability,"Use this optional attribute if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""",[Other] - The practice makes an explicit statement about identifiability that is not covered by the options above.,Other
18,3,coding3_q3,First Party Collection/Use - Identifiability,"Use this optional attribute if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""",[Unspecified] - It’s not explicitly stated or unclear if the information/data practice is linked to the user's identity.,Unspecified
19,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Financial] - Financial information, such as credit/debit card data, other payment information, credit scores, etc.",Financial
20,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Health] - Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.",Health
21,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Contact] - Contact Information, such as name, email address, phone number, street address, etc.",Contact
22,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Location] - Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.",Location
23,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Demographic] - Demographic Information, e.g., gender, age, occupation, education, etc.",Demographic
24,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Personal identifier] - Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.",Personal identifier
25,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[User online activities] - The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc.",User online activities
26,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[User profile] - The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc.",User profile
27,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Social media data] - User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.",Social media data
28,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[IP address and device IDs] - Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session.",IP address and device IDs
29,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Cookies and tracking elements] - Identifiers locally stored on user's device by the company/organization or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.",Cookies and tracking elements
30,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Computer information] - The type of operating system (OS) or web browser that the user uses, or similar computer or device information.",Computer information
31,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,[Survey data] - Any data that is collected through surveys,Survey data
32,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Generic personal information] - No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.",Generic personal information
33,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,[Other] - A specific type of information not covered by the above categories.,Other
34,4,coding3_q4,First Party Collection/Use - Personal Information Type, What category of information is collected or tracked by the company/organization?,"[Unspecified] - The type of information is not explicitly stated or unclear (e.g., refers to ""information"" very generically).",Unspecified
35,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Basic service/feature] - Provide a service that the user explicitly requests and that is part of the website/app's basic service or functionality. Examples are watching a video, reading an article, making a purchase, creating an account, contacting the company, etc.",Basic service/feature
36,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Additional service/feature] - Provide a service that the user explicitly requests but that is not a necessary part of the website/app's basic service. Additional services/features may enhance user experience or add convenience but require additional data, e.g., social media integration, comments, blog participation, a store finder that needs location information, etc.",Additional service/feature
37,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,[Advertising] - To show ads that are either targeted to the specific user or not targeted.,Advertising
38,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Marketing] - To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.",Marketing
39,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Analytics/Research] - For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research.",Analytics/Research
40,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Personalization/Customization] - For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.",Personalization/Customization
41,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Service Operation and Security] - For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc.",Service Operation and Security
42,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,"[Legal requirement] - For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.",Legal requirement
43,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,[Merger/Acquisition] - If company/organization merges or is acquired it transfers users' information to another company/organization.,Merger/Acquisition
44,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,[Other] - Other specific purpose not covered above.,Other
45,5,coding3_q5,First Party Collection/Use - Purpose,What is the purpose of collecting or using user information?,[Unspecified] - The purpose is not explicitly stated or is unclear.,Unspecified
46,6,coding3_q6,First Party Collection/Use - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[User without account] - This data practice specifically applies to users that do not have an account or are not registered with the website or mobile app.,User without account
47,6,coding3_q6,First Party Collection/Use - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[User with account] - This data practice specifically applies to users with an account or who are registered with the website or mobile app.,User with account
48,6,coding3_q6,First Party Collection/Use - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[Other] - This data practice applies to a specific user type not covered by the options above.,Other
49,6,coding3_q6,First Party Collection/Use - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[Unspecified] - It is not specified whether this practice applies to users with or without account.,Unspecified
50,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Dont use service/feature] - Only option is not to use the feature or service. Only select this if explicitly stated in policy (i.e., don't interpret silence as ""Don't use website or feature"").",Dont use service/feature
51,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[Opt-in] - User must consent before data can be collected or used by first party.,Opt-in
52,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Opt-out link] - Link provided in privacy policy, on website, in mobile app, or in email, etc.",Opt-out link
53,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Opt-out via contacting company] - Must contact company via email, phone, or postal mail to opt-out.",Opt-out via contacting company
54,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[First-party privacy controls] - Website/app provides user settings for privacy configuration.,First-party privacy controls
55,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Third-party privacy controls] - Choices provided by a third party (e.g., privacy settings on social media site) or industry (e.g., AdChoices Opt-out).",Third-party privacy controls
56,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Browser/device privacy controls] - Policy suggests the use of browser or mobile device’s privacy settings, e.g., to block trackers or cookies, activate Do-Not-Track, disable location sharing, clear history, etc.",Browser/device privacy controls
57,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[Other] - Other specific user choice or control option not captured above.,Other
58,7,coding3_q7,First Party Collection/Use - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[Unspecified] - No user choices mentioned for this practice.,Unspecified
59,8,coding3_q8,First Party Collection/Use - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Collection] - Choices apply to collection only.,Collection
60,8,coding3_q8,First Party Collection/Use - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Use] - Choices apply to use only.,Use
61,8,coding3_q8,First Party Collection/Use - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Both] - Choices apply to both collection and use.,Both
62,8,coding3_q8,First Party Collection/Use - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Unspecified] - No specific scope of choices is mentioned.,Unspecified
63,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,"[Unnamed third party] - The third party is not explicitly named, i.e., it is just generically referred to as ""third-party,"" ""partner,"" or similar.",Unnamed third party
64,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,"[Named third party] - The third party is explicitly named (e.g. Facebook) or at least characterized (e.g., “advertising partner” or “data broker”).",Named third party
65,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,"[Other part of company/affiliate] - Data is made available to other parts of the company/organization, e.g., it is shared with other services, apps, or websites operated by the company, could also be data exchange between online and offline company units (e.g. physical stores).",Other part of company/affiliate
66,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,[Other users] - The third-party involved are other users of the first party website or mobile app.,Other users
67,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,[Public] - User information is made public or can be obtained from public sources.,Public
68,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,[Other] - Other specific third-party entity not covered above.,Other
69,9,coding3_q9,Third Party Sharing/Collection - Third Party Entity,The third-party involved in the data practice.,"[Unspecified] - The third-party entity is not specified. This is uncommon, ""unnamed third-party"" will likely be the right value instead.",Unspecified
70,10,coding3_q10,Third Party Sharing/Collection - Does/Does Not,Use this optional attribute to denote if the policy explicitly states that something is NOT done. Defaults to Does.,[Does] - The third party does engage in the described practice.,Does
71,10,coding3_q10,Third Party Sharing/Collection - Does/Does Not,Use this optional attribute to denote if the policy explicitly states that something is NOT done. Defaults to Does.,[Does Not] - The third party does not engage in the described practice.,Does Not
72,11,coding3_q11,Third Party Sharing/Collection - Action Third Party,"How does the third-party receive, collect, track, or see user information.","[Receive/Shared with] - The third party receives information from the first party. (i.e., the first party explicitly shares data with third-party)",Receive/Shared with
73,11,coding3_q11,Third Party Sharing/Collection - Action Third Party,"How does the third-party receive, collect, track, or see user information.","[Collect on first party website/app] - The third party explicitly collects data from users on the first party website/app, e.g., by functionality on the website/app that allows users to directly provide information to the third party, such as social media sharing buttons or commenting forms.",Collect on first party website/app
74,11,coding3_q11,Third Party Sharing/Collection - Action Third Party,"How does the third-party receive, collect, track, or see user information.","[Track on first party website/app] - The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.",Track on first party website/app
75,11,coding3_q11,Third Party Sharing/Collection - Action Third Party,"How does the third-party receive, collect, track, or see user information.","[See] - Third-party can see user information that is publicly available either on the website/app or somewhere else. Remember, a third-party can be another user of the website/app. The difference to “receive” is that the information is available but not explicitly given to a specific third party.",See
76,11,coding3_q11,Third Party Sharing/Collection - Action Third Party,"How does the third-party receive, collect, track, or see user information.",[Other] - How the third party collects or receives user information is specified in the policy but it is not covered by the options above.,Other
77,11,coding3_q11,Third Party Sharing/Collection - Action Third Party,"How does the third-party receive, collect, track, or see user information.","[Unspecified] - The type of collection is not specified or unclear, e.g., “Our outside partners collect your personal information” without further specification whether the collection occurs on a website, app, offline, etc.",Unspecified
78,12,coding3_q12,Third Party Sharing/Collection - Identifiability,"Use this optional attribute if if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""",[Identifiable] - It is explicitly stated that the information/data practice is linked to the user's identity.,Identifiable
79,12,coding3_q12,Third Party Sharing/Collection - Identifiability,"Use this optional attribute if if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""","[Aggregated or anonymized] - The collected data is anonymized (e.g., link to user's identity is removed) or aggregated (e.g., merged with other users' information so that it is not possible to uniquely identify a single user).",Aggregated or anonymized
80,12,coding3_q12,Third Party Sharing/Collection - Identifiability,"Use this optional attribute if if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""",[Other] - The policy makes an explicit statement about identifiability that is not covered by the options above.,Other
81,12,coding3_q12,Third Party Sharing/Collection - Identifiability,"Use this optional attribute if if it is explicitly stated whether the information or data practice is linked to the user's identity or if it is anonymous. Defaults to ""not selected.""",[Unspecified] - It is not explicitly stated or unclear if the information/data practice is linked to the user's identity.,Unspecified
82,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Financial] - Financial information, e.g., credit/debit card data, other payment information, credit scores, etc.",Financial
83,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Health] - Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.",Health
84,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Contact] - Contact Information, e.g., name, email address, phone number, street address, etc.",Contact
85,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Location] - Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.",Location
86,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Demographic] - Demographic Information, e.g., gender, age, occupation, education, etc.",Demographic
87,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Personal identifier] - Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.",Personal identifier
88,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[User online activities] - The user’s online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc.",User online activities
89,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[User Profile] - The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website/app, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc.",User Profile
90,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[IP address and device IDs] - Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers of the user device (e.g., computer, mobile device, etc.) needed to establish a connection for the current browsing session.",IP address and device IDs
91,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Cookies and tracking elements] - Identifiers locally stored on user's device by company/organization or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.",Cookies and tracking elements
92,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Computer information] - The type of operating system (OS) or web browser that the user uses, or similar computer or device information.",Computer information
93,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.",[Survey data] - Any data that is collected through surveys.,Survey data
94,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Generic personal information] - No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.",Generic personal information
95,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.",[Other] - A specific type of information not covered by the above categories.,Other
96,13,coding3_q13,Third Party Sharing/Collection - Personal Information Type,"What category of information is shared with, collected by or otherwise obtained by the third-party.","[Unspecified] - The type of information is not explicitly stated or unclear (e.g., refers to ""information"" very generically).",Unspecified
97,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Basic service/feature] - Provide a service that user explicitly requests and that is part of website/app's basic service or functionality. Examples are watching a video, reading an article, making a purchase, creating an account, contacting the company, etc.",Basic service/feature
98,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Additional service/feature] - Provide a service that the user explicitly requests but that is not a necessary part of the website/app's basic service. Additional services/features may enhance user experience or add convenience but require additional data or sharing with third parties, e.g., social media integration, comments, blog participation, a store finder that needs location information, etc.",Additional service/feature
99,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,[Advertising] - To show ads that are either targeted to the specific user or not targeted.,Advertising
100,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Marketing] - To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.",Marketing
101,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Analytics/Research] - For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research.",Analytics/Research
102,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Personalization/Customization] - For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.",Personalization/Customization
103,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Service operation and security] - For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc.",Service operation and security
104,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,"[Legal requirement] - For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.",Legal requirement
105,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,[Merger/Acquisition] - If company/organization merges or is acquired it transfers users' information to another company/organization.,Merger/Acquisition
106,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,[Other] - Other specific purpose not covered above.,Other
107,14,coding3_q14,Third Party Sharing/Collection - Purpose,What is the purpose of a third party receiving or collecting user information?,[Unspecified] - The purpose is not explicitly stated or is unclear.,Unspecified
108,15,coding3_q15,Third Party Sharing/Collection - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[User without account] - This data practice specifically applies to users that do not have an account or are not registered with the website or mobile app.,User without account
109,15,coding3_q15,Third Party Sharing/Collection - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[User with account] - This data practice specifically applies to users with an account or who are registered with the website or mobile app.,User with account
110,15,coding3_q15,Third Party Sharing/Collection - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[Other] - This data practice applies to a specific user type not covered by the options above.,Other
111,15,coding3_q15,Third Party Sharing/Collection - User Type,Use this optional attribute if this practice applies specifically to users with an account or users without an account.,[Unspecified] - It is not specified whether this practice applies to users with or without account.,Unspecified
112,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,,Dont use service/feature
113,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Dont use service/feature] - Only option is not to use the feature or service. Only select this if explicitly stated in policy (i.e., don't interpret silence as ""Don't use website or feature"").",Opt-in
114,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[Opt-in] - User must consent before data can be shared with or collected/used by third party.,Opt-out link
115,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Opt-out link] - Link provided in privacy policy, on website, in mobile app, or in email, etc.",Opt-out via contacting company
116,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Opt-out via contacting company] - Must contact company/organization via email, phone, postal mail to opt-out.",First-party privacy controls
117,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[First-party privacy controls] - Website/app provides user settings for privacy configuration.,Third-party privacy controls
118,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Third-party privacy controls] - Choices provided by a third party (e.g., privacy settings on social media site) or industry (e.g., AdChoices Opt-out).",Browser/device privacy controls
119,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,"[Browser/device privacy controls] - Policy suggests the use of browser’s or mobile device’s privacy settings, e.g., to block trackers or cookies, activate Do-Not-Track, disable location sharing, clear history, etc.",Other
120,16,coding3_q16,Third Party Sharing/Collection - Choice Type,Use this optional attribute if user choices are explicitly offered for this practice. Defaults to “not selected.”,[Other] - Other specific user choice or control option not captured above.,Unspecified
121,17,coding3_q17,Third Party Sharing/Collection - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Collection] - Choices apply to collection by or sharing with third party only.,Collection
122,17,coding3_q17,Third Party Sharing/Collection - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Use] - Choices apply to use by third party only.,Use
123,17,coding3_q17,Third Party Sharing/Collection - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Both] - Choices apply to both collection/sharing and use.,Both
124,17,coding3_q17,Third Party Sharing/Collection - Choice Scope,"Use this optional attribute to indicate the scope of user choices. In some cases, even if user choices are not clear or specific, this attribute can be selected. Defaults to “not selected.”",[Unspecified] - No specific scope of choices is mentioned.,Unspecified
125,18,coding3_q18,User Choice/Control - Choice Type,The type of user choice or privacy control options available to users.,"[Dont use service/feature] - Only option is not to use the feature or service. Only select this if explicitly stated in policy (i.e., don't interpret silence as ""Don't use website or feature"").",Dont use service/feature
