,Index,Coding Question #,Question Type,Question Text,Question Response,Answer Value
58,16,coding4_q16,Notice - Type of Data Collected,Company uses cookies and tracking elements (highlight text on what type of cookies and tracking elements)?,[ 0 ] - no,0
59,16,coding4_q16,Notice - Type of Data Collected,Company uses cookies and tracking elements (highlight text on what type of cookies and tracking elements)?,[ 1 ] - yes,1
60,16,coding4_q16,Notice - Type of Data Collected,Company uses cookies and tracking elements (highlight text on what type of cookies and tracking elements)?,[ DND ] - 'does not disclose',DND
61,17,coding4_q17,Notice - Type of Data Collected,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",[ 0 ] - no,0
62,17,coding4_q17,Notice - Type of Data Collected,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",[ 1 ] - yes,1
63,17,coding4_q17,Notice - Type of Data Collected,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",[ DND ] - 'does not disclose',DND
64,18,coding4_q18,Notice - User Type,Type of user from which company collects information:,[ 0 ] - no collection,0
65,18,coding4_q18,Notice - User Type,Type of user from which company collects information:,[ 1 ] - user without an account,1
66,18,coding4_q18,Notice - User Type,Type of user from which company collects information:,[ 2 ] - user with an account,2
67,18,coding4_q18,Notice - User Type,Type of user from which company collects information:,[ 3 ] - all users regardless of subscription,3
68,18,coding4_q18,Notice - User Type,Type of user from which company collects information:,[ 4 ] - other,4
69,18,coding4_q18,Notice - User Type,Type of user from which company collects information:,[ DND ] - does not disclose ,DND
70,19,coding4_q19,Notice - Use of Data,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person) (internal business purposes are also consider purposes that are in the service of the user)",[ 0 ] - no,0
71,19,coding4_q19,Notice - Use of Data,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person) (internal business purposes are also consider purposes that are in the service of the user)",[ 1 ] - yes,1
72,19,coding4_q19,Notice - Use of Data,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person) (internal business purposes are also consider purposes that are in the service of the user)",[ DND ] - 'does not disclose',DND
73,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,[ 0 ] - no collection,0
74,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,[ 1 ] - Basic service/ feature,1
75,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,[ 2 ] - additional service/feature (for uses beyond the basic functioning of the service of feature),2
76,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,[ 3 ] - Advertising,3
77,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,4,4
78,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,"[ 5 ] - Analytics/Research,",5
79,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,"[ 6 ] - Personalization/Customization,",6
80,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,"[ 7 ] - Service Operation and Security,",7
81,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,"[ 8 ] - Legal requirement,",8
82,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,"[ 9 ] - Merger/Acquisition,",9
83,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,"[ 10 ] - Other,",10
84,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,11,11
85,20,coding4_q20,Notice - Use of Data First Party,What is the purpose for which the information will be collected?,[ DND ] - does not disclose,DND
86,21,coding4_q21,Notice - Use of Data,"Company commits to use PII data only for stated context specific, purposes would a user expect that this data must be shared for the service to work; e.g., stuff you post to a message board must be made public for a message board to work)?",[ 0 ] - no,0
87,21,coding4_q21,Notice - Use of Data,"Company commits to use PII data only for stated context specific, purposes would a user expect that this data must be shared for the service to work; e.g., stuff you post to a message board must be made public for a message board to work)?",[ 1 ] - yes,1
88,21,coding4_q21,Notice - Use of Data,"Company commits to use PII data only for stated context specific, purposes would a user expect that this data must be shared for the service to work; e.g., stuff you post to a message board must be made public for a message board to work)?",[ DND ] - DND,DND
89,22,coding4_q22,Notice - Use of Data/Collection/Choice,Are users given a choice regarding the collection of user information by the company?,[ 0 ] - no,0
90,22,coding4_q22,Notice - Use of Data/Collection/Choice,Are users given a choice regarding the collection of user information by the company?,[ 1 ] - yes,1
91,22,coding4_q22,Notice - Use of Data/Collection/Choice,Are users given a choice regarding the collection of user information by the company?,[ DND ] - DND,DND
92,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 0 ] - Dont use service/feature (i.e., user must stop using service, terminate account, leave page)/mandatory",0
93,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,[ 1 ] - Opt-out,1
94,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 2 ] - opt-in,",2
95,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,[ 3 ] - Opt-out link,3
96,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 4 ] - Opt-out via contacting company,",4
97,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,[ 5 ] - First-party privacy controls (might have to go to site to check to see if collection is an option),5
98,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 6 ] - Third-party privacy controls,",6
99,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,[ 7 ] - Browser/device privacy controls (if the PP specifies this as an option the user can adopt),7
100,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ 8 ] - Other,",8
101,23,coding4_q23,Notice - Use of Data/Collection/Choice,What type of choice is the user given regarding collection of information by the firm/first party?,"[ DND ] - does not disclose """,DND
102,24,coding4_q24,Notice - Use of Data/Collection/Choice,What is the choice scope regardig the firm's collection and use of information?,[ 0 ] - not choice,0
103,24,coding4_q24,Notice - Use of Data/Collection/Choice,What is the choice scope regardig the firm's collection and use of information?,"[ 1 ] - Collection,",1
104,24,coding4_q24,Notice - Use of Data/Collection/Choice,What is the choice scope regardig the firm's collection and use of information?,"[ 2 ] - Use,",2
105,24,coding4_q24,Notice - Use of Data/Collection/Choice,What is the choice scope regardig the firm's collection and use of information?,[ 3 ] - Both,3
106,24,coding4_q24,Notice - Use of Data/Collection/Choice,What is the choice scope regardig the firm's collection and use of information?,[ DND ] - does not disclose,DND
107,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,[ 0 ] - Unnamed third party,0
108,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,[ 1 ] - category of third party identfied (in compliance with CCPA),1
109,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,[ 2 ] - Named third party,2
110,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,"[ 3 ] - Other part of company/affiliate,",3
111,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,"[ 4 ] - Other users, Public,",4
112,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,"[ 5 ] - Other,",5
113,25,coding4_q25,Notice - 3rd parties,Company identifes the type of third parties who are allowed to collect or receive shared user information,[ DND ] - does not disclose,DND
114,26,coding4_q26,Notice - 3rd parties,Third party tracking: site allows third parties to place advertisements that may track user behavior?,[ 0 ] - no,0
115,26,coding4_q26,Notice - 3rd parties,Third party tracking: site allows third parties to place advertisements that may track user behavior?,[ 1 ] - yes,1
116,26,coding4_q26,Notice - 3rd parties,Third party tracking: site allows third parties to place advertisements that may track user behavior?,[ DND ] - 'does not disclose',DND
117,27,coding4_q27,Notice - 3rd parties,PP identifies third party recipients of shared or sold data? (General question),"[ 0 ] - gen'l ID (""trusted 3rd parties""",0
118,27,coding4_q27,Notice - 3rd parties,PP identifies third party recipients of shared or sold data? (General question),[ DND ] - DND,DND
119,27,coding4_q27,Notice - 3rd parties,PP identifies third party recipients of shared or sold data? (General question),[ 1 ] - specific/named identification,1
120,28,coding4_q28,Notice - 3rd parties,"PP defines words such as ""affiliates"" or ""third parties"" if it uses them? (i.e.. the policy includes definitions of what it means by these categories)",[ 0 ] - no,0
121,28,coding4_q28,Notice - 3rd parties,"PP defines words such as ""affiliates"" or ""third parties"" if it uses them? (i.e.. the policy includes definitions of what it means by these categories)",[ 1 ] - yes,1
122,28,coding4_q28,Notice - 3rd parties,"PP defines words such as ""affiliates"" or ""third parties"" if it uses them? (i.e.. the policy includes definitions of what it means by these categories)",[ . ] - n/a,.
123,29,coding4_q29,Sharing - privacy practices,"Are affiliates and subsidiaries bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ 0 ] - no,0
124,29,coding4_q29,Sharing - privacy practices,"Are affiliates and subsidiaries bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ 1 ] - yes,1
125,29,coding4_q29,Sharing - privacy practices,"Are affiliates and subsidiaries bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ DND ] - does not disclose,DND
126,29,coding4_q29,Sharing - privacy practices,"Are affiliates and subsidiaries bound by the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?",[ . ] - n/a,.
127,30,coding4_q30,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by the same privacy policies, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ 0 ] - no,0
128,30,coding4_q30,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by the same privacy policies, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ 1 ] - yes,1
129,30,coding4_q30,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by the same privacy policies, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ DND ] - does not disclose,DND
130,30,coding4_q30,Sharing - privacy practices,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by the same privacy policies, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",[ . ] - n/a,.
131,31,coding4_q31,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ 0 ] - no,0
132,31,coding4_q31,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ 1 ] - yes,1
133,31,coding4_q31,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ DND ] - does not disclose,DND
134,31,coding4_q31,Sharing - privacy practices,Are third parties bound by the same privacy policy?,[ . ] - n/a,.
135,32,coding4_q32,Sharing - 3rd parties,Affiliate Sharing: Does company share non-PII information with affiliates?,[ 0 ] - no,0
136,32,coding4_q32,Sharing - 3rd parties,Affiliate Sharing: Does company share non-PII information with affiliates?,[ 1 ] - yes,1
137,33,coding4_q33,Sharing - 3rd parties,Affiliate Sharing: Does company share PII information with affiliates?,[ 0 ] - no,0
138,33,coding4_q33,Sharing - 3rd parties,Affiliate Sharing: Does company share PII information with affiliates?,[ 1 ] - yes,1
139,34,coding4_q34,Sharing - 3rd parties,Third party Sharing: Does company share PII information with third parties? (general question),[ 0 ] - no,0
140,34,coding4_q34,Sharing - 3rd parties,Third party Sharing: Does company share PII information with third parties? (general question),[ 1 ] - yes,1
141,34,coding4_q34,Sharing - 3rd parties,Third party Sharing: Does company share PII information with third parties? (general question),[ DND ] - does not disclose,DND
142,35,coding4_q35,Sharing - 3rd Parties,Does company share non-PII data with third parties?,[ 0 ] - no,0
143,35,coding4_q35,Sharing - 3rd Parties,Does company share non-PII data with third parties?,[ 1 ] - yes,1
144,36,coding4_q36,Sharing - 3rd Parties,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,[ 0 ] - no,0
145,36,coding4_q36,Sharing - 3rd Parties,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,[ 1 ] - yes,1
146,37,coding4_q37,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ 0 ] - no,0
147,37,coding4_q37,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ 1 ] - yes,1
148,37,coding4_q37,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ DND ] - does not disclose,DND
149,37,coding4_q37,Sharing - 3rd Parties,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,[ . ] - n/a,.
150,38,coding4_q38,Sharing - 3rd Parties,PP provides links to relevant 3rd parties' PP's?,[ 0 ] - no,0
151,38,coding4_q38,Sharing - 3rd Parties,PP provides links to relevant 3rd parties' PP's?,[ 1 ] - yes,1
152,38,coding4_q38,Sharing - 3rd Parties,PP provides links to relevant 3rd parties' PP's?,[ . ] - n/a,.
153,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,[ 0 ] - purposes not specified (in violation of CCPA),0
154,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,[ 1 ] - Basic service/feature (inherent to the operation of the business),1
155,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,"[ 2 ] - Additional service/feature,",2
156,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,[ 3 ] - Advertising,3
157,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,"[ 4 ] - Marketing,",4
158,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,"[ 5 ] - Analytics/Research,",5
159,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,"[ 6 ] - Personalization/Customization,",6
160,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,"[ 7 ] - Service operation and security,",7
161,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,"[ 8 ] - Other (excluding compliance with the law, self-defense, enforce rights, mergers and acquisitions)",8
162,39,coding4_q39,Sharing - 3rd Parties,Please highlight all the purposes by with information is being shared with third parties,[ DND ] - does not disclose,DND
163,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 0 ] - company doesn't disclose type/category of information,0
164,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]","[ 1 ] - Financial,",1
165,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]","[ 2 ] - Health,",2
166,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]","[ 3 ] - Contact,",3
167,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]","[ 4 ] - Location, including bluetooth",4
168,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]","[ 5 ] - Demographic,",5
169,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 6 ] - Personal identifier,6
170,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 7 ] - User online activities,7
171,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 8 ] - User Profile,8
172,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 9 ] - IP address and device IDs,9
173,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 10 ] - Cookies and tracking elements,10
174,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 11 ] - Computer information,11
175,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 12 ] - Survey data,12
176,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 13 ] - Generic p/aggregate personal information,13
177,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 14 ] - Biometric information,14
178,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ 15 ] - Other [state in comments],15
179,40,coding4_q40,Sharing - 3rd Parties,"Company discloses the type/category of information shared with third parties, excluding data processors/vendors? (Please identify from below all that apply,  if yes)[CCPA required]",[ DND ] - DND,DND
