,Question Type,coding_1,coding_2,coding_3,coding_4,coding_5,coding_6,coding_7,coding_8,coding_9,coding_10,coding_11
82,Notice of Contract - Consent and Registration,no,no,no,no,no,yes,yes,yes,yes,yes,yes
83,"[ 7 ] - Receive from other service/third-party (named) [The company/organization acquires user information from a third party that is explicitly named (e.g., Facebook when the user signs in using Facebook account; or a specific ""partner"")]",no,no,no,no,no,yes,yes,yes,yes,yes,no
84,[ 0 ] - No collection [this answer should be selected when the firm does not collect any personal information],no,no,no,no,no,yes,yes,yes,yes,yes,no
85,[ . ] - n/a,no,no,no,no,no,yes,yes,yes,yes,yes,no
86,Notice - Use of Data First Party,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
87,"[ 6 ] - Unspecified [The type of collection is not specified (i.e., DND) or unclear, e.g., “Our outside partners collect your personal information” without further specification whether the collection occurs on a website, app, offline, etc.",no,no,no,no,no,yes,yes,yes,yes,yes,no
88,[ 3 ] - Collect on mobile website [The company/organization has a mobile version of its website through which it collects user information. This value is only needed if the policy explicitly distinguishes between its normal and mobile websites.],no,no,no,no,no,yes,yes,yes,yes,yes,no
89,Privacy By Design - Oversight,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
90,"[ 5 ] - Delete account (partial),[User can delete account, but the company/organization may continue to keep some of the user’s data]",no,no,no,no,no,yes,yes,yes,yes,yes,no
91,Notice - Consent to Communications and Marketing,no,no,no,no,yes,no,no,no,no,no,no
92,"[ 7 ] - Privacy/Security program, [The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
93,Notice - 3rd parties,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
94,[ 1 ] - when using consumer data in a materially different manner than claimed when the data was collected (FTC 2012 guidelines),no,no,no,no,no,yes,yes,yes,yes,yes,yes
95,"[ 2 ] a list of categories of information the Business has (i) sold or within the preceding 12 months or, if the Business has not",no,no,no,no,no,yes,yes,yes,yes,yes,yes
96,Third Party Sharing/Collection - Third Party Entity,no,no,yes,no,no,no,no,no,no,no,no
97,"[ 4 ] - Collect from user on other websites  [This company/organization (the first party) has a widget or element on other websites, in which the user can explicitly provide data to the first party while being on the other website. For example, Facebook users can comment on news or other content on different websites and Facebook collects that data.",no,no,no,no,no,yes,yes,yes,yes,yes,no
98,[ 2 ] - for material terms,no,no,no,no,no,yes,yes,yes,yes,yes,yes
99,Enforcement  - Liability,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
100,[ 12 ] - Survey data [Any data that is collected through surveys],no,no,no,no,no,yes,yes,yes,yes,yes,no
101,"[ 2 ] - Collect on first party website/app [The third party explicitly collects data from users on the first party website/app, e.g., by functionality on the website/app that allows users to directly provide information to the third party, such as social media sharing buttons or commenting form]",no,no,no,no,no,yes,yes,yes,yes,yes,no
102,Security  - Accuracy,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
103,[ 5 ] - First-party privacy controls (might have to go to site to check to see if collection is an option) [Website/app provides user settings for privacy configuration],no,no,no,no,no,yes,no,no,yes,yes,no
104,[ 4 ] - other [This data practice applies to a specific user type not covered by the options above.],no,no,no,no,no,yes,yes,yes,yes,yes,no
105,First Party Collection/Use - Collection Mode,no,no,yes,no,no,no,no,no,no,no,no
106,"[ 0 ] - None,",no,no,no,no,no,yes,yes,yes,yes,yes,no
107,Sharing - privacy practices,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
108,CCPA - Data Sharing,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
109,GDPR-Automated Processes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
110,[ 1 ] a list of the categories of personal information collected by the business in the past 12 months,no,no,no,no,no,yes,yes,yes,yes,yes,yes
111,"[ 3 ] - email, notification upon signing into account, or other specific method likely to alert user",no,no,no,no,no,yes,yes,yes,yes,yes,no
112,Notice - User Type,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
113,Enforcement  - Dispute Resolution,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
114,Notice - Consent,no,no,no,yes,no,no,no,no,no,no,no
115,Notice - Type of Data Collected,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
116,[ 6 ] - Other,no,no,no,no,no,yes,yes,yes,yes,yes,no
117,Notice,no,yes,no,yes,no,no,no,no,no,no,no
118,[ 10 ] - Other,no,no,no,no,no,yes,yes,yes,yes,yes,yes
119,Notice - Type of Data Collected ,no,yes,no,no,no,no,no,no,no,no,no
120,Enforcement  - Oversight,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
121,User Choice/Control - Personal Information Type,no,no,yes,no,no,no,no,no,no,no,no
122,"[ 5 ] - Analytics/Research,[For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]",no,no,no,no,no,yes,yes,yes,yes,yes,no
123,"[ 5 ] - See [Third-party can see user information that is publicly available either on the website/app or somewhere else. Remember, a third-party can be another user of the website/app. The difference to “receive” is that the information is available but not explicitly given to a specific third party.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
124,"[ 3 ] - analytics/research [For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]",no,no,no,no,no,yes,yes,yes,yes,yes,no
125,"[ 5 ] - Demographic,[Demographic Information, e.g., gender, age, occupation, education, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
126,First Party Collection/Use - Does/Does Not,no,no,yes,no,no,no,no,no,no,no,no
127,[ 1 ] - perform service/functionality [collected user information is only stored as long as it is needed to perform the requested service.],no,no,no,no,no,yes,yes,yes,yes,yes,no
128,[ 4 ] - other,no,no,no,no,no,yes,yes,yes,yes,yes,yes
129,User Visibility,yes,no,no,no,no,no,no,no,no,no,no
130,"[ 1 ] - Financial,[Financial information, such as credit/debit card data, other payment information, credit scores, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
131,"[ 2 ] - Transactional data [Purchases made, online activity, products watched, comments or questions submitted]",no,no,no,no,no,yes,yes,yes,yes,yes,no
132,Security  - Enforcement,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
133,Notice - Change of Terms,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
134,[ 0 ] - No (no sharing with third parties),no,no,no,no,no,yes,yes,yes,yes,yes,no
135,"[ 10 ] - Cookies and tracking elements [Identifiers locally stored on user's device by website or third-parties including cookies, beacons, or similar that are commonly used to uniquely identify users, but that are not essential to establish a connection with the user’s device or to provide a service.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
136,Third Party Sharing/Collection - Purpose,no,no,yes,no,no,no,no,no,no,no,no
137,"[ 1 ] - ""at our discretion"" or similar or ""may""",no,no,no,no,no,yes,yes,yes,yes,yes,no
138,Notice - Withdrawal of Consent,no,no,no,no,yes,no,no,no,no,no,no
139,"[ 1 ] - Opt-out [The default is for the user to share PII with third parties, but the PP gives the user the opportunity to opt out]",no,no,no,no,no,yes,no,no,yes,yes,no
140,Notice - Access,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
141,[ 4 ] A description of a Consumer’s rights to: * request disclosure of information collected; * request disclosure of information sold; * nondiscrimination relating to Consumers who exercise CCPA rights; ,no,no,no,no,no,yes,yes,yes,yes,yes,yes
142,Enforcement,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
143,Notice - Consent to Cookies,no,no,no,no,yes,no,no,no,no,no,no
144,"[ 4 ] - Location, including bluetooth [Geo-location information (e.g., user's current location) regardless of granularity, i.e., could be exact location, ZIP code, city-level.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
145,[ 2 ] - link on homepage or notice+link on homepage,no,no,no,no,no,yes,yes,yes,yes,yes,no
146,User Choice/Control - Purpose,no,no,yes,no,no,no,no,no,no,no,no
147,Notice - Action First Party ,no,no,no,no,no,yes,yes,yes,yes,yes,no
148,"[ 7 ] - Other[An access, edit, or delete option not covered above.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
149,Data Retention - Retention Period,no,no,yes,no,no,no,no,no,no,no,no
150,Policy Change - Change Type,no,no,yes,no,no,no,no,no,no,no,no
151,Notice - Consent to processing personal information (PII),no,no,no,no,yes,no,no,no,no,no,no
152,Security  - Security Measures,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
153,[ 0 ] - no,no,no,no,no,no,yes,yes,yes,yes,yes,no
154,Data Retention - Personal Information Type,no,no,yes,no,no,no,no,no,no,no,no
155,"[ 6 ] - Receive from other service/third-party (unnamed). [ The company/organization receives user information from an unnamed third-party (e.g., the policy just speaks of “data brokers” or ""partners"" in the abstract).]",no,no,no,no,no,yes,yes,yes,yes,yes,no
156,[ 10 ] - Other [Other specific purpose not covered above],no,no,no,no,no,yes,yes,yes,yes,yes,no
157,Notice - PP Accessibility on Site,no,no,no,no,yes,no,no,no,no,no,no
158,[ 3 ] - Edit information/correct [v38] [User can modify or delete specific information],no,no,no,no,no,yes,yes,yes,yes,yes,no
159,Notice of Contract- Salience of Consent to Communications and Marketing,no,no,no,no,no,yes,yes,yes,yes,yes,yes
160,CCPA - Opt Out,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
161,"[ 6 ] - Personal identifier [Identifiers that uniquely identify a person,e.g., SSN, driver's license number, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
162,PP describe new rights afforded California residen...,no,yes,no,no,no,no,no,no,no,no,no
163,First Party Collection,yes,no,no,no,no,no,no,no,no,no,no
164,"[ 1 ] - User account data [Information explicitly provided by the user, such as contact,  demographic, and any other explicitly provided information that is part of the user’s profile/account. This includes user preferences and settings]",no,no,no,no,no,yes,yes,yes,yes,yes,no
165,"[ 3 ] - Contact,[Contact Information, such as name, email address, phone number, street address, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
166,"[ 3 ] a list of categories (by reference to the CCPA enumerated category) of information the Business has disclosed for a business purpose,  within the preceding 12 months or, if the Business has not done so, disclosing that fact.",no,no,no,no,no,yes,yes,yes,yes,yes,yes
167,Third Party Collection,yes,no,no,no,no,no,no,no,no,no,no
168,User Control - Termination,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
169,Third Party Sharing/Collection - User Type,no,no,yes,no,no,no,no,no,no,no,no
170,"[ 4 ] - Other data about user,[Other information that the company/organization has learned about the user, e.g., inferred preferences, data from other third parties, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
171,Notice - Withdrawal of Consent (GDPR),no,no,no,no,no,yes,yes,yes,yes,yes,yes
172,Notice - Use of Data,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
173,Data Security - Security Measure,no,no,yes,no,no,no,no,no,no,no,no
174,Notice of Contract - PP Accessibility on Site,no,no,no,no,no,yes,yes,yes,yes,yes,yes
175,Sharing - 3rd Parties,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
176,GDPR,no,no,no,no,no,no,no,no,no,no,yes
177,[ 0 ] - no notice,no,no,no,no,no,yes,yes,yes,yes,yes,no
178,"[ 3 ] - Track on first party website/app [The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.</description>]",no,no,no,no,no,yes,yes,yes,yes,yes,no
179,[ 15 ] - Other [state in comments],no,no,no,no,no,yes,yes,yes,yes,yes,no
180,"[ 11 ] - Computer information [The type of operating system (OS) or web browser that the user uses, or similar computer or device information]",no,no,no,no,no,yes,yes,yes,yes,yes,no
181,"[ 2 ] - opt-in, [User must consent before data can be shared with or collected/used by third party]",no,no,no,no,no,yes,no,no,yes,yes,no
182,Notice of Contract- Registration and Salience,no,no,no,no,no,yes,yes,yes,yes,yes,yes
183,Notice of Contract- Salience of Consent to processing personal information (PII),no,no,no,no,no,yes,yes,yes,yes,yes,yes
184,Security  - Notice,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
185,[ 1 ] - Collect on website [The company/organization collects user information directly on the website.],no,no,no,no,no,yes,yes,yes,yes,yes,no
186,Other - Other Type,no,no,yes,no,no,no,no,no,no,no,no
187,"[ 7 ] - Service Operation and Security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, et]",no,no,no,no,no,yes,yes,yes,yes,yes,no
188,[ 3 ] - for any changes,no,no,no,no,no,yes,yes,yes,yes,yes,yes
189,[ . ] - N/A,no,no,no,no,no,yes,yes,yes,yes,yes,yes
190,"[ 0 ] - Don't use service/feature (i.e., user must stop using service, terminate account, leave page)/mandatory [Only option is not to use the feature or service. Only select this if explicitly stated in policy (i.e., don't interpret silence as """"Don't use website or feature""]",no,no,no,no,no,yes,no,no,yes,yes,no
191,"[ 8 ] - Other, [Other specific user choice or control option not captured above.]",no,no,no,no,no,yes,no,no,yes,yes,no
192,CCPA - Access,no,yes,no,no,no,no,no,no,no,no,no
193,First Party Collection/Use - Purpose,no,no,yes,no,no,no,no,no,no,no,no
194,[ 9 ] - Merger/Acquisition [If company/organization merges or is acquired it transfers users' information to another company/organization--Note: this variable is satisfied if the firm states that it will share the personal information in case it gets bought or merges with another firm],no,no,no,no,no,yes,yes,yes,yes,yes,no
195,"[ 4 ] - service operation and security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
196,"[ 1 ] - View [Users can access their information, but not edit or delete it]",no,no,no,no,no,yes,yes,yes,yes,yes,no
197,Third Party Sharing/Collection - Choice Scope,no,no,yes,no,no,no,no,no,no,no,no
198,[ 2 ] - to comply with the law [Collected data is only stored as long as required for legal or law enforcement purposes.] [GDPR allowed],no,no,no,no,no,yes,yes,yes,yes,yes,no
199,[ 5 ] unspecified [it doesn't specify whether this practice applies to users with or without an account],no,no,no,no,no,yes,yes,yes,yes,yes,no
200,[ 7 ] - other,no,no,no,no,no,yes,yes,yes,yes,yes,no
201,[ 3 ] - Advertising [To show ads that are either targeted to the specific user or not targeted],no,no,no,no,no,yes,yes,yes,yes,yes,no
202,"[ 4 ] - Deactivate account [User can deactivate account so that the user’s information is not visible to other users anymore, but the company/organization keeps all the data]",no,no,no,no,no,yes,yes,yes,yes,yes,no
203,"[ 6 ] - marketing [To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
204,[ 2 ] - Export (portability) [GDPR required] [Users can export their information to other services or download it to own computer.],no,no,no,no,no,yes,yes,yes,yes,yes,no
205,CCPA - Data Choices,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
206,"[ 3 ] - Opt-out link [Link provided in privacy policy, on website, in mobile app, or in email, etc.]",no,no,no,no,no,yes,no,no,yes,yes,no
207,Enforcement ,no,yes,no,no,no,no,no,no,no,no,no
208,"[ 3 ] - Secure data storage [Data is stored securely, e.g. in an encrypted format or database]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
209,Third Party Sharing/Collection - Does/Does Not,no,no,yes,no,no,no,no,no,no,no,no
210,CCPA- Notice,no,no,no,no,no,yes,yes,yes,yes,yes,yes
211,"[ 6 ] - Personalization/Customization, [For providing user with a personalized experience, e.g., by allowing to arrange how the website/app looks, based on the user’s preferences or language, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
212,CCPA - Notice,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
213,"[ 3 ] - Profile data,[Information that the company has learned about user, even if the user did not explicitly provided it]",no,no,no,no,no,yes,yes,yes,yes,yes,no
214,Third Party Sharing/Collection - Personal Information Type,no,no,yes,no,no,no,no,no,no,no,no
215,Sharing - Consent,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
216,Sharing - 3rd Parties  ,no,yes,no,no,no,no,no,no,no,no,no
217,Security  - Privacy by Design,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
