,Index,Coding Question #,Question Label,Question Text,OTHER,FMW
0,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",1,False
32,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",2,False
28,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",False,False
9,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",1,False
3,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",2,False
46,74,coding2_74,CCPA - Stats,"California section wordcount
",1589,False
55,74,coding2_74,CCPA - Stats,"California section wordcount
",1516,False
61,74,coding2_74,CCPA - Stats,"California section wordcount
",1589,False
52,74,coding2_74,CCPA - Stats,"California section wordcount
",1510,False
65,74,coding2_74,CCPA - Stats,"California section wordcount
",1589,False
10,74,coding2_74,CCPA - Stats,"California section wordcount
",1568,False
4,74,coding2_74,CCPA - Stats,"California section wordcount
",1516,False
67,74,coding2_74,CCPA - Stats,"California section wordcount
",448,False
69,74,coding2_74,CCPA - Stats,"California section wordcount
",1243,False
29,74,coding2_74,CCPA - Stats,"California section wordcount
",1511,False
71,74,coding2_74,CCPA - Stats,"California section wordcount
",False,False
33,74,coding2_74,CCPA - Stats,"California section wordcount
",1589,False
56,81,coding2_81,CCPA - Data Choices,"“Do Not Sell My Personal Information.” If information is shared/sold to third parties, does the PP  allow the consumer to opt-out by providing a link on the website with that option?
1=yes
 no=0
 2=yes, but no link",Info is not sold.,False
62,81,coding2_81,CCPA - Data Choices,"“Do Not Sell My Personal Information.” If information is shared/sold to third parties, does the PP  allow the consumer to opt-out by providing a link on the website with that option?
1=yes
 no=0
 2=yes, but no link",does not sell personal information so no opt-out choice offered,False
34,81,coding2_81,CCPA - Data Choices,"“Do Not Sell My Personal Information.” If information is shared/sold to third parties, does the PP  allow the consumer to opt-out by providing a link on the website with that option?
1=yes
 no=0
 2=yes, but no link",N/A,False
11,81,coding2_81,CCPA - Data Choices,"“Do Not Sell My Personal Information.” If information is shared/sold to third parties, does the PP  allow the consumer to opt-out by providing a link on the website with that option?
1=yes
 no=0
 2=yes, but no link",n/a,False
5,81,coding2_81,CCPA - Data Choices,"“Do Not Sell My Personal Information.” If information is shared/sold to third parties, does the PP  allow the consumer to opt-out by providing a link on the website with that option?
1=yes
 no=0
 2=yes, but no link",they don't sell,False
1,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",0,False
63,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",0,False
35,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",N/A,False
57,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",.,False
6,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",they don't sell,False
47,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",no,False
12,82,coding2_82,CCPA - Data Sharing,"Does the PP list the categories of personal information sold in the past 12 months?
1=yes 0 no .=N/A",n/a,False
48,83,coding2_83,CCPA - Data Sharing,"PP includes a list of the categories of personal information disclosed for a business purpose in the past 12 months? (Business purposes include: Auditing related to a current interaction with the consumer and concurrent transactions, including, but not limited to, counting ad impressions to unique visitors, verifying positioning and quality of ad impressions, and auditing compliance with laws and other standards)
Detecting security incidents, protecting against malicious, deceptive, fraudulent, or illegal activity, and prosecuting those responsible for that activity;
Performing services on behalf of the business, including maintaining or servicing accounts, providing customer service, processing or fulfilling orders and transactions, verifying customer information, processing payments, providing financing, providing advertising or marketing services, providing analytic services, or providing similar services on behalf of the business;
Debugging to identify and repair errors that impair existing intended functionality;
Short-term, transient use, provided the personal information is not disclosed to another third party and is not used to build a profile about a consumer or otherwise alter an individual consumer’s experience outside the current interaction, including, but not limited to, the contextual customization of ads shown as part of the same interaction;
Undertaking internal research for technological development and demonstration; and
PP includes list of the categories of personal information disclosed for a business purpose in the past 12 monthsUndertaking activities to verify or maintain the quality or safety of a service or device that is owned, manufactured, manufactured for, or controlled by the company, and to improve, upgrade, or enhance the service or device that is owned, manufactured, manufactured for, or controlled by the business.

1=yes 0 no .=N/A",no,False
58,83,coding2_83,CCPA - Data Sharing,"PP includes a list of the categories of personal information disclosed for a business purpose in the past 12 months? (Business purposes include: Auditing related to a current interaction with the consumer and concurrent transactions, including, but not limited to, counting ad impressions to unique visitors, verifying positioning and quality of ad impressions, and auditing compliance with laws and other standards)
Detecting security incidents, protecting against malicious, deceptive, fraudulent, or illegal activity, and prosecuting those responsible for that activity;
Performing services on behalf of the business, including maintaining or servicing accounts, providing customer service, processing or fulfilling orders and transactions, verifying customer information, processing payments, providing financing, providing advertising or marketing services, providing analytic services, or providing similar services on behalf of the business;
Debugging to identify and repair errors that impair existing intended functionality;
Short-term, transient use, provided the personal information is not disclosed to another third party and is not used to build a profile about a consumer or otherwise alter an individual consumer’s experience outside the current interaction, including, but not limited to, the contextual customization of ads shown as part of the same interaction;
Undertaking internal research for technological development and demonstration; and
PP includes list of the categories of personal information disclosed for a business purpose in the past 12 monthsUndertaking activities to verify or maintain the quality or safety of a service or device that is owned, manufactured, manufactured for, or controlled by the company, and to improve, upgrade, or enhance the service or device that is owned, manufactured, manufactured for, or controlled by the business.

1=yes 0 no .=N/A",0,False
53,84,coding2_84,CCPA - Data Choices,"PP identifies at least two methods for submitting a personal information or erasure request?(These  must include, at a minimum, a web page and a toll-free telephone number)
0=no
 1= two methods identified, 2=one method identified",,False
7,84,coding2_84,CCPA - Data Choices,"PP identifies at least two methods for submitting a personal information or erasure request?(These  must include, at a minimum, a web page and a toll-free telephone number)
0=no
 1= two methods identified, 2=one method identified",,False
13,84,coding2_84,CCPA - Data Choices,"PP identifies at least two methods for submitting a personal information or erasure request?(These  must include, at a minimum, a web page and a toll-free telephone number)
0=no
 1= two methods identified, 2=one method identified",no toll-free number,False
70,84,coding2_84,CCPA - Data Choices,"PP identifies at least two methods for submitting a personal information or erasure request?(These  must include, at a minimum, a web page and a toll-free telephone number)
0=no
 1= two methods identified, 2=one method identified",2,False
36,84,coding2_84,CCPA - Data Choices,"PP identifies at least two methods for submitting a personal information or erasure request?(These  must include, at a minimum, a web page and a toll-free telephone number)
0=no
 1= two methods identified, 2=one method identified",,False
59,85,coding2_85,PP describe new rights afforded California residen...,"PP describe new rights afforded California residents. (The description should address all of the above new rights. It should also indicate that the consumer may only make a personal information request twice in a 12-month period, that the business will need to collect information from the requesting party so that it can verify their identity, and that the business will respond within 45 days of receiving a personal information request.
",0,False
2,85,coding2_85,PP describe new rights afforded California residen...,"PP describe new rights afforded California residents. (The description should address all of the above new rights. It should also indicate that the consumer may only make a personal information request twice in a 12-month period, that the business will need to collect information from the requesting party so that it can verify their identity, and that the business will respond within 45 days of receiving a personal information request.
",1,False
14,85,coding2_85,PP describe new rights afforded California residen...,"PP describe new rights afforded California residents. (The description should address all of the above new rights. It should also indicate that the consumer may only make a personal information request twice in a 12-month period, that the business will need to collect information from the requesting party so that it can verify their identity, and that the business will respond within 45 days of receiving a personal information request.
",yes,False
37,85,coding2_85,PP describe new rights afforded California residen...,"PP describe new rights afforded California residents. (The description should address all of the above new rights. It should also indicate that the consumer may only make a personal information request twice in a 12-month period, that the business will need to collect information from the requesting party so that it can verify their identity, and that the business will respond within 45 days of receiving a personal information request.
",Not all rights,False
