,Question Identifier,Question Text,Company,Policy Instance ID,Policy,Section Identifier,Sentence Identifier,Sentence
42,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,303,2,You can configure your browser to refuse all cookies or to indicate when a cookie is being sent
43,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,303,3,Learn more about  [how Google uses cookies](https://policies.google.com/technologies/cookies)
44,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,304,1,"For example, a unique identifier such as the Advertising ID is used to provide relevant advertising on Android devices, and can be  [managed](https://policies.google.com/technologies/ads)  in your device’s settings"
45,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,304,0,"On other platforms besides browsers, unique identifiers are used to recognize a specific device or app on that device"
46,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,304,2,"Unique identifiers may also be incorporated into a device by its manufacturer (sometimes called a universally unique ID or UUID), such as the IMEI-number of a mobile phone"
47,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,304,3,"For example, a device’s unique identifier can be used to customize our service to your device or analyze device issues related to our services"
48,10,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",EU google.com,363,privacy_policy,53,1,The activity information we collect may include:
49,10,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",EU google.com,363,privacy_policy,57,0,• Voice and audio information when you use audio features
50,10,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",EU google.com,363,privacy_policy,213,2,We also ask for your consent to collect your voice and audio activity for speech recognition
51,10,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",EU google.com,363,privacy_policy,251,0,•  [Voice and Audio Collection from Children’s Features on the Google Assistant](https://assistant.google.com/privacy-notice-childrens-features/)
52,10,"Biometric Information Collected and Stored? (e.g., facial scans, fingerprints, facial patterns, voice or typing cadence.)",EU google.com,363,privacy_policy,261,0,•  [How Google uses pattern recognition](https://policies.google.com/technologies/pattern-recognition)  to recognize things like faces in photos
53,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,75,0,§ Why Google collects data
54,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,76,0,We use data to build better services
55,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,77,0,We use the information we collect from all our services for the following purposes:
56,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,78,0,§ Provide our services
57,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,79,0,"We use your information to  [deliver our services](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-deliver-services) , like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts"
58,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,80,0,§ Maintain & improve our services
59,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,81,0,"We also use your information to  [ensure our services are working as intended](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-ensure-working) , such as tracking outages or troubleshooting issues that you report to us"
60,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,81,1,"And we use your information to  [make improvements](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-make-improvements)  to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services"
61,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,82,0,§ Develop new services
62,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,83,0,We use the information we collect in existing services to help us develop new ones
63,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,84,0,"§ Provide personalized services, including content and ads"
64,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,85,0,"We use the information we collect to customize our services for you, including providing recommendations, personalized content, and  [customized search results](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-customized-search)"
65,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,85,1,"For example,  [Security Checkup](https://myaccount.google.com/security-checkup?utm_source=pp)  provides security tips adapted to how you use Google products"
66,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,85,2,And Google Play uses information like apps you’ve already installed and videos you’ve watched on YouTube to suggest new apps you might like
67,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,86,0,"Depending on your settings, we may also show you  [personalized ads](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-personalized-ads)  based on your interests"
68,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,86,1,"For example, if you search for “mountain bikes,” you may see an ad for sports equipment when you’re browsing a site that shows ads served by Google"
69,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,86,2,You can control what information we use to show you ads by visiting your ad settings
70,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,87,0,"• We don’t show you personalized ads based on  [sensitive categories](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-sensitive-categories) , such as race, religion, sexual orientation, or health"
71,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,88,0,"• We don’t share information that personally identifies you with advertisers, such as your name or email, unless you ask us to"
72,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,88,1,"For example, if you see an ad for a nearby flower shop and select the “tap to call” button, we’ll connect your call and may share your phone number with the flower shop"
73,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,89,0,[Go to Ad Settings](https://adssettings.google.com/?utm_source=pp)
74,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,90,0,§ Measure performance
75,11,"Company commits that PII will be used internally only for business purposes ( e.g., effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? [Article 4 of the GDPR, personal data is ""any information relating to an identified or identifiable natural person. In general, internal business purposes involve use of data for purposes that are in the service of the user)[Advertising is not considered internal business purposes; Article 6 of GDPR defines as legitimiate or ""business purpose  processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;

",EU google.com,363,privacy_policy,91,0,We use data for analytics and measurement to understand how our services are used
