Label,Question ID,Question Text,Question Response,Answer Value,Count,Median Confidence,Median Focus,Median Blur,FMW
Sharing,v21_2020.1,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",yes,1,10,4.0,48947.0,81104.0,True
Sharing,v21_2020.1,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",does not disclose,DND,9,4.0,48947.0,81104.0,True
Sharing,v21_2020.1,"Are contractors/service providers (under CCPA)/processors (under GDPR)  (e.g., payment process companies) bound by either the same privacy policy, confidentiality agreements, or have a contract with firm outlining how data will be used and secured?  (CCPA, GDPR compliance requirement)",n/a,.,0,4.0,48947.0,81104.0,True
Sharing,v22_2020.1,Are third parties bound by the same privacy policy?,no,0,14,3.5,37874.0,55393.0,True
Sharing,v22_2020.1,Are third parties bound by the same privacy policy?,yes,1,4,3.5,37874.0,55393.0,True
Sharing,v22_2020.1,Are third parties bound by the same privacy policy?,does not disclose,DND,4,3.5,37874.0,55393.0,True
Sharing,v22_2020.1,Are third parties bound by the same privacy policy?,"n/a [this would be applicable if, for example, the company did not share information with third parties]",.,0,3.5,37874.0,55393.0,True
Sharing,v27_2020.1,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,no,0,3,4.0,9531.0,19866.5,True
Sharing,v27_2020.1,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,yes,1,0,4.0,9531.0,19866.5,True
Sharing,v27_2020.1,Entity performs due diligence to ensure legitimacy of 3rd parties that have access to data?,does not disclose,DND,20,4.0,9531.0,19866.5,True
Sharing,v28_2020,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,no,0,4,3.5,30090.0,32586.0,True
Sharing,v28_2020,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,yes,1,5,3.5,30090.0,32586.0,True
Sharing,v28_2020,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,does not disclose,DND,13,3.5,30090.0,32586.0,True
Sharing,v28_2020,Entity has contract with 3rd parties (excluding processors/service providers)  establishing how disclosed data can be used?,n/a,.,1,3.5,30090.0,32586.0,True
Sharing,v29_2020,"PP provides links to relevant 3rd parties' PP's? (sometimes the PP includes links to third party privacy policies, usually when it states that any engagement with third parties will be governed by third party privacy policies",no,0,23,4.0,12385.0,14612.0,True
Sharing,v29_2020,"PP provides links to relevant 3rd parties' PP's? (sometimes the PP includes links to third party privacy policies, usually when it states that any engagement with third parties will be governed by third party privacy policies",yes,1,0,4.0,12385.0,14612.0,True
Sharing,v29_2020,"PP provides links to relevant 3rd parties' PP's? (sometimes the PP includes links to third party privacy policies, usually when it states that any engagement with third parties will be governed by third party privacy policies",n/a (in cases where there are no relationships with third parties of any sort),.,0,4.0,12385.0,14612.0,True
Sharing,v31_2020,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",mandatory or does not disclose,0,15,3.5,76196.0,42911.0,True
Sharing,v31_2020,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","opt-out  [The default is for the user to share PII with third parties, but the PP gives the user the opportunity to opt out]",1,4,3.5,76196.0,42911.0,True
Sharing,v31_2020,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",opt-in [User must consent before data can be shared with or collected/used by third party],2,1,3.5,76196.0,42911.0,True
Sharing,v31_2020,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",N/A (applicable if firm does not engage in this practice),.,3,3.5,76196.0,42911.0,True
User Control,v37_2020,Can users can adjust privacy settings?  [Double check on the website; directing user to control cookies via browser setting doesn't count],no,0,7,4.0,47454.5,43311.5,True
User Control,v37_2020,Can users can adjust privacy settings?  [Double check on the website; directing user to control cookies via browser setting doesn't count],yes,1,16,4.0,47454.5,43311.5,True
User Control,v38_2020.1,Are users allowed to access and correct/update personal data collected?,no,0,3,4.0,84995.0,55131.5,True
User Control,v38_2020.1,Are users allowed to access and correct/update personal data collected?,Can access data,1,5,4.0,84995.0,55131.5,True
User Control,v38_2020.1,Are users allowed to access and correct/update personal data collected?,Can access and correct data,2,15,4.0,84995.0,55131.5,True
User Control,v38_2020.1,Are users allowed to access and correct/update personal data collected?,"Can access and correct data, and 3rd parties notified of correction",3,0,4.0,84995.0,55131.5,True
User Control,v37.2_2020.1,"Can the user request that incorrect data be either rectified, updated, or erased?",no,0,2,4.0,30899.0,55803.0,True
User Control,v37.2_2020.1,"Can the user request that incorrect data be either rectified, updated, or erased?","yes, within 30 days [in compliance with GDPR]",1,0,4.0,30899.0,55803.0,True
User Control,v37.2_2020.1,"Can the user request that incorrect data be either rectified, updated, or erased?","yes, no time limit",2,15,4.0,30899.0,55803.0,True
User Control,v37.2_2020.1,"Can the user request that incorrect data be either rectified, updated, or erased?",does not disclose,DND,6,4.0,30899.0,55803.0,True
User Control,v39_2020,Can user request that information be deleted or anonymized? ,no,0,3,4.0,57329.0,38139.0,True
User Control,v39_2020,Can user request that information be deleted or anonymized? ,"yes (partial) [User can delete/anonymize account, but the company/organization may continue to keep some of the user’s data]",1,17,4.0,57329.0,38139.0,True
User Control,v39_2020,Can user request that information be deleted or anonymized? ,yes (full) [User can delete account and all of the user’s information is removed from company/organization’s servers/databases.],2,2,4.0,57329.0,38139.0,True
User Control,v40_2020.1,Ownership Rights of User Information Provided (look in terms of use),Company owns data,0,3,3.0,74638.0,96770.0,False
User Control,v40_2020.1,Ownership Rights of User Information Provided (look in terms of use),"User owns data, but licenses data to entity in a non-exclusive, royalty-free, form, with no right to compensation for company's use of the data",1,5,3.0,74638.0,96770.0,False
User Control,v40_2020.1,Ownership Rights of User Information Provided (look in terms of use),"User owns the data but the license is not as broad as in [1[, where the company can use, share, and commercialize data/proprietary media as it sees fit.",2,0,3.0,74638.0,96770.0,False
User Control,v40_2020.1,Ownership Rights of User Information Provided (look in terms of use),does not disclose,DND,14,3.0,74638.0,96770.0,False
User Control,v47_2020.1,What happens to data if entity ceases to exist or is acquired?,"sold w/company or otherwise distributed/disclosed [e.g., when the company liquidates and the assets are sold piecemal]",0,8,4.0,26246.0,32870.0,True
User Control,v47_2020.1,What happens to data if entity ceases to exist or is acquired?,sold but given continued protection under same PP; or transferred to acquiring entity,1,6,4.0,26246.0,32870.0,True
User Control,v47_2020.1,What happens to data if entity ceases to exist or is acquired?,"destroyed, anonymized, etc.",2,0,4.0,26246.0,32870.0,True
User Control,v47_2020.1,What happens to data if entity ceases to exist or is acquired?,user is given choice as to what happens with data,3,0,4.0,26246.0,32870.0,True
User Control,v47_2020.1,What happens to data if entity ceases to exist or is acquired?,does not disclose,DND,9,4.0,26246.0,32870.0,True
User Control,v49_2020,"If company is sold or goes bankrupt, user is given choice as to what happens to their data?",no,0,21,4.0,11975.5,15950.0,True
User Control,v49_2020,"If company is sold or goes bankrupt, user is given choice as to what happens to their data?",yes,1,0,4.0,11975.5,15950.0,True
User Control,v51_2020,"If user quits site, what happens to personal data?",retained and treated as if user is still using service,0,2,4.0,26737.0,59483.0,True
User Control,v51_2020,"If user quits site, what happens to personal data?",Retained  but modified,1,4,4.0,26737.0,59483.0,True
User Control,v51_2020,"If user quits site, what happens to personal data?",deleted/anonymized,2,4,4.0,26737.0,59483.0,True
User Control,v51_2020,"If user quits site, what happens to personal data?",does not disclose,DND,13,4.0,26737.0,59483.0,True
Security,v41_2020,PP/TOU guarantees data accuracy (must say the word data accuracy for this to be relevant)?,no,0,20,4.0,11651.0,13406.0,True
Security,v41_2020,PP/TOU guarantees data accuracy (must say the word data accuracy for this to be relevant)?,yes,1,3,4.0,11651.0,13406.0,True
Security,v42_2020,"PP specifies reasonable procedures in place to ensure accuracy?  (Even a little procedure qualifies, please highlight relevant text)",no,0,17,4.0,16598.0,36886.5,True
Security,v42_2020,"PP specifies reasonable procedures in place to ensure accuracy?  (Even a little procedure qualifies, please highlight relevant text)",yes,1,6,4.0,16598.0,36886.5,True
Security,v43_2020,PP reserves right to disclose protected information to comply with law/prevent crime?,no/doesn't say,0,0,5.0,39001.0,43567.0,True
Security,v43_2020,PP reserves right to disclose protected information to comply with law/prevent crime?,yes,1,23,5.0,39001.0,43567.0,True
Security,v44_2020,PP reserves right to disclose protected information to protect its own rights?,no/doesn't say,0,0,5.0,17755.5,17190.0,False
Security,v44_2020,PP reserves right to disclose protected information to protect its own rights?,yes,1,22,5.0,17755.5,17190.0,False
Security,v45_2020,Users will be given notice of government requests for information about the user.,no/ doesn't say,0,18,4.0,19024.0,30012.0,True
Security,v45_2020,Users will be given notice of government requests for information about the user.,yes,1,4,4.0,19024.0,30012.0,True
Security,v46_2020,User will be notified of data breach?,no (or does not disclose),0,22,4.0,7048.0,37116.0,True
Security,v46_2020,User will be notified of data breach?,yes,1,1,4.0,7048.0,37116.0,True
Security,v53_2020,"PP describes substantive privacy and security protections incorporated into entity's managerial/structural procedures (e.g., limiting the number of employees who have access to data, allowing data access only for job-related functions, assigning employees to oversee privacy issues, employing Chief Privacy Officer, requiring periodic audits)? (General question)",no,0,14,4.0,44781.0,102346.5,True
Security,v53_2020,"PP describes substantive privacy and security protections incorporated into entity's managerial/structural procedures (e.g., limiting the number of employees who have access to data, allowing data access only for job-related functions, assigning employees to oversee privacy issues, employing Chief Privacy Officer, requiring periodic audits)? (General question)",yes,1,8,4.0,44781.0,102346.5,True
Security,v54_2020,"PP specifically identifies means of technological security (e.g., encryption)?",no,0,6,4.0,25808.0,30962.5,True
Security,v54_2020,"PP specifically identifies means of technological security (e.g., encryption)?",yes,1,16,4.0,25808.0,30962.5,True
Data Practices,v52_2020,Does company have a procedure for safely disposing unused/no longer needed data?,no or doesn't say,0,18,4.0,10508.0,38753.5,True
Data Practices,v52_2020,Does company have a procedure for safely disposing unused/no longer needed data?,yes,1,4,4.0,10508.0,38753.5,True
Enforcement,v55_2020,PP provides means by which user can contact site with privacy concerns and/or complaints? [select all that apply],no,0,0,4.0,61001.5,40778.5,True
Enforcement,v55_2020,PP provides means by which user can contact site with privacy concerns and/or complaints? [select all that apply],"yes, for all users",1,20,4.0,61001.5,40778.5,True
Enforcement,v55_2020,PP provides means by which user can contact site with privacy concerns and/or complaints? [select all that apply],"yes, and mentions it in accordance with CCPA [or listed under a CCPA section in PP]",2,0,4.0,61001.5,40778.5,True
Enforcement,v55_2020,PP provides means by which user can contact site with privacy concerns and/or complaints? [select all that apply],"yes, and mentions it in accordance with GDPR [or listed under a GDPR section in PP]",3,2,4.0,61001.5,40778.5,True
Enforcement,v56_2020,"PP has forum selection clause? If so, which forum? (Look in TOU as well)",no,0,7,5.0,45879.0,55438.0,True
Enforcement,v56_2020,"PP has forum selection clause? If so, which forum? (Look in TOU as well)",yes,1,15,5.0,45879.0,55438.0,True
Enforcement,v57_2020,"PP has choice of law clause?  If so, which law? (Look in TOU as well)",no,0,1,5.0,17238.5,27304.0,True
Enforcement,v57_2020,"PP has choice of law clause?  If so, which law? (Look in TOU as well)",yes,1,20,5.0,17238.5,27304.0,True
Enforcement,v58_2020,PP has arbitration clause?  (Look in TOU as well),no,0,12,4.0,29293.0,12646.5,True
Enforcement,v58_2020,PP has arbitration clause?  (Look in TOU as well),yes,1,9,4.0,29293.0,12646.5,True
Enforcement,v58_2020,PP has arbitration clause?  (Look in TOU as well),consumer may choose arbitration,2,1,4.0,29293.0,12646.5,True
Enforcement,v59_2020,PP has class action waiver?  (Look in TOU as well),no,0,13,4.0,10127.5,8517.5,True
Enforcement,v59_2020,PP has class action waiver?  (Look in TOU as well),yes,1,9,4.0,10127.5,8517.5,True
Enforcement,v60_2020,PP disclaims liability for failure of security measures?,no,0,7,4.0,62181.0,82629.0,True
Enforcement,v60_2020,PP disclaims liability for failure of security measures?,yes,1,15,4.0,62181.0,82629.0,True
